Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink;;;;;;;;;;
14846;The Monarch of Weeklies (Illustrated American);Cartells;;004389-C;402;278;Secció de Cartells (MNAC);1890;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513071;;;;;;;;;;
14907;Victor Bicycles;Cartells;William Henry Bradley;000619-C;408;284;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513072;;;;;;;;;;
14209;Bénédictine;Cartells;Alfons Mucha;000122-C;2093;775;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513073;;;;;;;;;;
14302;Dick Whittinngton;Cartells;John Hassall;000332-C;759;506;Secció de Cartells (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513074;;;;;;;;;;
14203;Brasserie Fraikin-Courard;Cartells;;000086-C;110;577;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513076;;;;;;;;;;
14462;Harper's Weekly. Christmas;Cartells;Maxfield Parrish;000482-C;408;284;Secció de Cartells (MNAC);1895;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Paper;;;http://www.wikidata.org/entity/Q27513077;;;;;;;;;;
14471;Harper's. January;Cartells;Edward Penfield;004417-C;292;493;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513078;;;;;;;;;;
14184;Automobile Club Belgique. Course Bruxelles - Spa;Cartells;Georges Gaudy;000267-C;129;945;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513079;;;;;;;;;;
14911;Victoria Bicycles;Cartells;William Henry Bradley;004310-C;413;284;Secció de Cartells (MNAC);1895;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513080;;;;;;;;;;
14260;Circol Artistich. Exposicio de cartells organisada per en Lluís Plandiura;Cartells;John Hassall;004330-C;115;164;Secció de Cartells (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513081;;;;;;;;;;
