Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
3734;Dario (Museu d'Art Modern de Tarragona, inv 3029);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24256931
3735;Dario (Museu d'Art Modern de Tarragona, inv 3221);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24258249
3736;Dario (Museu d'Art Modern de Tarragona, inv 3222);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24258248
3737;Desconsol;Escultura;Josep Llimona i Bruguera;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Barcelona%202%20368.JPG;;;;;;Point(2.18805556 41.38777778);;;;;;Barcelona;http://www.wikidata.org/entity/Q3815359
3738;Desconsol;Escultura;Josep Llimona i Bruguera;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Josep%20Llimona%2C%201903%2C%20Desconsol%2C%20white%20marble%2C%20copy%20from%201984%2C%20parc%20de%20la%20Ciutadella%2C%20Barcelona%203%20DSC09613.jpg;;;;;;Point(2.18805556 41.38777778);;;;;;Barcelona;http://www.wikidata.org/entity/Q3815359
3739;Desconsol 83;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835994
3740;Desconsol 83a;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835963
3741;Desconsol 83b;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Madrid;http://www.wikidata.org/entity/Q26835985
3742;Desconsol 83c;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Sitges;http://www.wikidata.org/entity/Q26835990
3743;Desconsol 83d;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Sitges;http://www.wikidata.org/entity/Q26835988
3744;Desconsol 83e;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835987
3745;Desconsol 83f;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835969
3746;Desconsol 83h;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835983
3747;Desconsol 83h*;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835996
3748;Desconsol 83h** (Boston);Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Boston;http://www.wikidata.org/entity/Q26835962
3749;Desconsol 83h** (Palma);Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Palma;http://www.wikidata.org/entity/Q26835966
3750;Desconsol 83i;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835993
3751;Desconsol 83j;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835995
3752;Desconsol 83k;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835967
3753;Desconsol 83l;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835992
3754;Desconsolada;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Viña del Mar;http://www.wikidata.org/entity/Q26835998
3755;Desembarcament de Colom a Amèrica;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835999
3756;Diana caçadora ? (1909-1912?);Escultura;Antoni Parera i Saurina;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q23902371
3757;Diana caçadora en repòs;Escultura;Venanci Vallmitjana i Barbany;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q23812845
